STA_SEQ,Station_Na,YLat,XLong,MinOfNomin,CountOfNom,HydroID
16334,Nonewaug River,41.6255,-73.1593,3,1,103004431
16505,BIBLE ROCK BROOK,41.4975,-72.6064,2,1,106001676
16603,DAY MEADOW BROOK,41.5803,-72.4083,5,1,106002429
15169,Roaring Brook,41.7594,-72.8808,4,2,105001230
17299,Cuff Brook,41.5409,-72.9485,4,2,104000191
16972,PITCH BROOK,41.7067,-73.1619,2,1,103009643
15752,Eagleville Brook,41.8089,-72.2633,5,1,107001744
16331,Sumner Brook,41.4835,-72.6375,2,1,106001514
14840,Mountain Brook,41.9741,-72.8375,2,2,105000748
15301,Eagleville Brook,41.8067,-72.2646,5,3,107001725
15386,Roberts Brook (Mirror Lake outlet),41.815,-72.2319,3,1,107001750
16120,Elbow Brook,41.5211,-72.4869,2,1,106002069
15302,Eagleville Brook,41.804,-72.266,4,3,107001684
16588,COOPER POND BROOK,41.2742,-73.4642,5,1,102002568
19121,Bullet Hill Brook,41.48494,-73.19425,3,1,103014759
19682,Sixmile Brook,41.406776,-73.144739,3,1,103016538
17300,Cabin Brook,41.5605,-72.3167,3,2,106002321
16119,Day Pond Brook,41.5623,-72.4338,2,5,106002231
19696,Whiting River Unnamed tributary to,42.03433,-73.268021,3,1,103003315
16204,Steele Brook,41.6175,-73.131,3,1,103011912
17816,INDIAN HUT BROOK,41.90276,-72.06398,3,1,107002745
15001,Beach Brook,41.946,-72.8575,2,1,105001894
15406,Little Brook,41.6424,-72.7207,4,2,106002759
15315,Burnham Brook,41.4603,-72.3343,2,6,106001367
17852,Shady Oak School House Brook,41.89866,-71.80928,3,1,109002552
16316,Jim Brook,41.8377,-72.8817,3,2,105001412
15303,Eagleville Brook,41.7991,-72.2738,3,1,107001644
16123,Muddy Brook,41.4756,-72.342,3,1,106001530
16387,Hurricane Brook,42.033,-72.9207,2,3,105000877
19021,Farm Brook,41.82225,-72.543615,5,1,106003364
16002,Pemberwick Brook,41.0274,-73.661,5,2,102000177
16341,Nod Brook,41.8286,-72.8667,3,1,105001382
16326,Wharton Brook tributary to,41.4309,-72.8196,5,1,104000478
16984,PURCHASE BROOK,41.4686,-73.2911,3,1,103015113
17427,East Branch Stonehouse Brook,41.8186,-72.1316,5,1,107001810
17610,Silver Brook,41.280798,-72.999271,5,1,104002083
19025,Menunketesuck River,41.382789,-72.552639,4,1,104000796
16127,Jakes Brook,41.864151,-73.167442,2,4,103005443
15239,East Branch Byram River,41.0995,-73.6832,3,2,102000513
16135,Sargent River,41.4272,-72.9899,3,1,104000529
15304,Eagleville Brook,41.7938,-72.2752,3,4,107001600
15010,Cabin Brook,41.5603,-72.3349,3,3,106002320
18209,Cabin Brook,41.56052,-72.330771,3,2,106002320
18515,Menunketesuck River Unnamed Tributary to,41.356489,-72.536493,5,1,104001139
19655,Bradley Brook,41.991852,-72.810504,4,1,105002144
14846,Sawmill Brook,41.5851,-73.5108,2,1,103012506
16535,BUCK BROOK,41.6228,-72.558,3,1,106002686
15426,Bladens River (Bladdens River),41.3872,-73.0191,3,1,103016885
16035,Nickelmine Brook,41.8342,-73.1786,3,1,103006136
14862,Bentley Brook,41.5582,-72.1366,3,1,108000499
14860,Flat Brook,41.4062,-72.0747,3,1,108001640
14263,Kahn Brook,41.5681,-72.1702,4,3,108000399
16116,Kettle Brook,41.9324,-72.9442,2,1,105001830
16111,Beaver Meadow Brook,41.4552,-72.5288,3,1,106001310
16015,Murphy Brook,41.7828,-72.0398,2,1,107001450
15011,Crooked Brook,41.5999,-71.9067,3,1,109003940
15017,Fivemile Brook,41.3846,-73.1597,3,1,103016986
19020,Moosehorn Brook,41.570871,-73.327091,3,1,103012935
16322,Ogden Brook,41.8456,-72.4816,4,2,106003539
14999,North Running Brook,41.9645,-71.9657,3,1,109002217
17708,Silver Brook,41.2722,-73.0008,5,1,104002139
14845,Bull Mountain Brook,41.6782,-73.4515,3,1,103010288
16336,Hatchery Brook,41.622,-72.7697,4,2,106002542
17061,SPRING LOT BROOK,41.3019,-72.4569,4,2,104001611
14453,Spruce Brook,41.4562,-73.0626,3,1,103015370
16136,Wintergreen Brook,41.3458,-72.9585,4,1,104001217
16345,Sasco Brook tributary to,41.1817,-73.3142,3,1,102001474
16080,West Branch Salmon Brook,41.9745,-72.896,2,1,105000769
16078,South Mountain Brook,41.6621,-72.947,3,1,105001033
16679,Fry Brook,41.6831,-71.9058,3,2,109003611
15990,Spice Brook,41.8459,-72.3865,3,2,107002132
15244,Cobble Brook,41.7217,-73.4572,3,1,103009189
19017,Todd Hollow Brook,41.654345,-73.036215,5,1,103011005
14858,Flat Brook,41.6801,-72.4673,2,1,106002914
16114,Rugg Brook,41.9328,-73.1214,2,3,105001823
16122,Early Brook,41.4978,-72.3435,2,2,106001719
14128,Bantam River,41.6884,-73.2668,3,2,103010096
15783,Eagleville Brook,41.7882,-72.2776,3,3,107001502
16064,Umpawaug Pond Brook,41.3169,-73.4443,4,1,102002798
14866,Stickney Hill Brook,41.9833,-72.2179,2,4,107003475
16137,Indian River,41.2651,-73.0129,5,1,104002255
17448,Pequonnock River,41.3204,-73.2405,4,1,102002825
17398,Negro Hill Brook,41.7254,-72.95,2,1,105000061
15999,Silver Brook,41.2665,-73.0049,4,2,104002273
16594,Cranberry Meadow Brook,41.405177,-72.225708,4,1,108001678
15520,Bonemill Brook,41.925,-72.3162,2,2,107002960
16121,Flat Brook,41.5544,-72.4523,2,2,106002283
15714,Cedar Swamp Brook,41.8164,-72.279,3,1,107001775
15580,Town Farm Brook,41.5648,-73.3936,4,1,103013254
15997,Town Farm Brook,41.5562,-73.3912,4,2,103013254
14998,Still Brook,42.0192,-72.3127,4,1,107003689
16501,BELDEN BROOK,42.0122,-72.8775,3,1,105000840
16124,Flat Brook,41.938249,-73.321123,2,6,103004217
19698,Cove River,41.286443,-72.9741,5,1,104001905
15024,Wood Creek,41.6387,-73.2362,2,1,103011547
15066,Patton Brook,41.6462,-72.8601,5,1,104000050
16299,Hunts brook,41.4293,-72.172,2,1,108001436
16025,Muddy Brook,41.1276,-73.3294,5,1,102000737
16528,BRANCH BROOK,41.395779,-72.72126,3,1,104000640
16110,Mott Hill Brook,41.6615,-72.5365,3,5,106002799
18496,Mill River,41.30213,-73.27415,3,1,102002730
16112,Hemlock Valley Brook,41.4283,-72.4226,2,4,106001029
14804,Mill Brook,41.8804,-73.331,3,3,103005089
15193,Honeypot Brook,41.5396,-72.8789,5,1,104000258
16734,Hempstead Brook,41.3722,-72.0456,4,2,108001990
19693,Pequabuck River,41.68184,-73.0163,5,1,105001061
16373,East Mountain Brook,41.8772,-72.9778,2,1,105001580
14385,Pequabuck River,41.6789,-73.015,5,3,105001061
15768,Mallory Brook,41.9113,-73.0263,3,1,105000523
16962,PHELPS BROOK,41.799811,-72.964813,4,1,105001323
15201,Spoonshop Brook,41.545673,-72.765549,5,1,104000181
16325,Willow Brook,41.5425,-72.7707,5,2,104000259
14736,Sherman Brook,41.5753,-72.2847,3,1,108000341
17568,Sherman Brook,41.576275,-72.287584,3,2,108000341
14852,Pumpkin Ground Brook,41.2415,-73.1341,5,1,103018853
17186,WEWAKA BROOK,41.4878,-73.3508,3,1,103014674
17565,Long Branch Brook,42.01196,-71.871901,4,1,109001897
18468,Joe Clark Brook,41.484687,-72.0413,3,1,108001010
16416,Delphi Brook,42.0211,-72.2517,2,1,107003685
15051,Durkee Brook,41.8829,-71.9286,4,1,109002632
14880,Sages Ravine Brook,42.0495,-73.4301,3,1,103003192
16337,Beaver Brook,41.3351,-73.0766,5,1,103018063
14723,Fenger Brook,41.3219,-72.1054,5,1,108002405
16333,Bullet Hill Brook,41.4826,-73.2205,3,1,103014760
14523,Burton Brook,41.9667,-73.4341,3,1,103003881
15964,Thompson Brook,41.7681,-72.8497,4,3,105001258
15018,Farm River,41.4063,-72.771,4,2,104000560
15007,Sawmill Brook,41.7398,-72.2017,2,1,107001013
14362,Ridgefield Brook,41.3158,-73.4792,4,3,102002815
14968,Lily Brook,41.5742,-72.9878,4,1,103012823
16191,Hall Meadow Brook,41.9173,-73.1949,2,1,103004719
16428,Little River,41.309,-73.3658,5,1,102002783
16289,Staddle Brook,41.727,-72.3782,3,1,107000929
16502,BELDEN BROOK,42.0056,-72.8508,2,1,105000830
16140,Bruce Brook,41.1899,-73.1551,5,2,102001391
14551,Coginchaug River,41.4435,-72.6882,3,2,106001172
15413,Belcher Brook,41.605,-72.7577,4,3,106002513
18875,Walker Brook,41.598459,-73.347537,3,1,103012123
15796,PENDLETON HILL BROOK,41.4748,-71.8342,2,5,110001178
14844,Lake Waramaug Brook,41.7243,-73.3345,3,1,103009207
15003,Wappoquia Brook,41.8751,-71.9658,3,1,109002696
16758,HOWELL'S BROOK,42.0078,-73.0042,2,1,105002178
14842,Indian Meadow Brook,41.9305,-73.079,3,3,105000586
15015,Seth Williams Brook,41.4399,-71.9741,5,2,108001341
14201,Five Mile River,41.1418,-73.4833,5,2,102001005
15510,Cobble Brook,41.7454,-73.4542,3,1,103008532
16307,Long Hill Brook,41.5408,-72.653,5,3,106002177
17211,Wyassup Brook,41.4506,-71.8444,5,1,110001296
17405,Roaring Brook,41.9818,-72.2215,5,1,107003470
17455,West Branch Pequonnock River,41.301,-73.2489,5,1,102002738
17556,Bolton Pond Brook,41.796962,-72.42478,2,1,107001479
15333,Webster Brook,41.6405,-72.7421,5,2,106002739
15776,East Branch Mount Hope,41.881,-72.16,3,1,107002553
17530,Haleys Brook,41.38712,-71.97682,3,2,108001851
14863,Rocky Brook,42.0134,-71.802,2,2,109001866
14305,Muddy Brook,42.0147,-72.0017,3,4,109001865
16288,Branch Brook,41.9199,-72.1256,2,2,107002850
16106,Branch Brook,41.9108,-72.1245,2,2,107002850
14363,Norwalk River,41.3101,-73.4691,5,2,102002788
14800,Steele Brook,41.6105,-73.1153,3,4,103004492
14997,East Branch Salmon Brook,42.0135,-72.8435,2,1,105002182
16385,Beaver Brook,41.932,-72.9754,2,1,105000580
