STA_SEQ,Station_Na,YLat,XLong,BCG,CountOfNom,HydroID,Strahler,StrMi,SqMi,Dam,Div,ICCnt,ICSum,POTW,IC_Avg,SD_Pct,Q99,DIV_CFS,POTW_CFS,DivQ99,POTWQ99,DamStrMi,ICMetric,DIVMetric,DAMMetric,STPMetric,SumMetric,HSI
16334,Nonewaug River,41.6255,-73.1593,3,1,103004431,1,0.11,0.025875527000000002,0.0,0.0,95.0,724.0,0.0,7.62105263158,0.0,1.020913e-05,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,6.0,2.0
16505,BIBLE ROCK BROOK,41.4975,-72.6064,2,1,106001676,1,0.55,0.13,0.0,0.0,390.0,35.0,0.0,0.08974358973999999,0.0,7.246671999999999e-05,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
16603,DAY MEADOW BROOK,41.5803,-72.4083,5,1,106002429,1,0.53,0.16,0.0,0.0,481.0,1407.0,0.0,2.92515592516,6.25,0.0023872991100000003,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,5.0,1.0
15169,Roaring Brook,41.7594,-72.8808,4,2,105001230,2,0.65,0.35,0.0,0.0,1046.0,14319.0,0.0,13.689292542999999,31.4285714286,0.013930138490000002,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,6.0,2.0
17299,Cuff Brook,41.5409,-72.9485,4,2,104000191,1,1.124556,0.457547,0.0,0.0,1315.0,17551.0,0.0,13.346768060799999,0.0,0.00033391428,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,6.0,2.0
16972,PITCH BROOK,41.7067,-73.1619,2,1,103009643,1,1.31,0.493502055,0.0,0.0,1488.0,117.0,0.0,0.07862903226,0.0,0.00036603459,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
15752,Eagleville Brook,41.8089,-72.2633,5,1,107001744,1,0.994872,0.599494,0.0,0.0,1729.0,57138.0,3.0,33.046847889,1.0770059235299998,0.00489482115,0.0,4.641,0.0,0.0,0.0,3.0,1.0,1.0,1.0,6.0,2.0
16331,Sumner Brook,41.4835,-72.6375,2,1,106001514,2,1.91,0.6,1.0,0.0,1787.0,41.0,0.0,0.02294348069,0.0,0.00046403788,0.0,0.0,0.0,0.0,0.52356020942,1.0,1.0,3.0,1.0,6.0,2.0
14840,Mountain Brook,41.9741,-72.8375,2,2,105000748,2,2.8,0.811033,0.0,0.0,2519.0,353.0,0.0,0.1401349742,1.56831318331,0.00853695853,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
15301,Eagleville Brook,41.8067,-72.2646,5,3,107001725,2,1.596074,0.812497,0.0,0.0,2331.0,62945.0,3.0,27.0034320034,2.5071519389700003,0.010836321999999999,0.0,4.641,0.0,0.0,0.0,3.0,1.0,1.0,1.0,6.0,2.0
